"genes","symbol","v15.Counts","v32.Counts"
"ENSG00000009724","MASP2",425,438
"ENSG00000009765","IYD",1,1
"ENSG00000009780","FAM76A",282,278
"ENSG00000009790","TRAF3IP3",3253,2996
"ENSG00000009830","POMT2",650,638
"ENSG00000009844","VTA1",1369,1355
"ENSG00000009950","MLXIPL",15,15
"ENSG00000009954","BAZ1B",4432,4382
"ENSG00000010017","RANBP9",2137,1772
"ENSG00000010030","ETV7",20,19
"ENSG00000010072","SPRTN",426,418
"ENSG00000010165","EEF1AKNMT",1112,1098
"ENSG00000010219","DYRK4",219,174
"ENSG00000010244","ZNF207",12727,10671
"ENSG00000010256","UQCRC1",2257,2233
"ENSG00000010270","STARD3NL",1429,1407
"ENSG00000010278","CD9",1179,1225
"ENSG00000010282","HHATL",1,1
"ENSG00000010292","NCAPD2",3478,3417
"ENSG00000010295","IFFO1",1232,1199
"ENSG00000010310","GIPR",37,39
"ENSG00000010318","PHF7",372,369
"ENSG00000010319","SEMA3G",45,45
"ENSG00000010322","NISCH",6689,6563
"ENSG00000010327","STAB1",13200,12820
"ENSG00000010361","FUZ",360,299
"ENSG00000010379","SLC6A13",4,4
"ENSG00000010404","IDS",5585,1854
"ENSG00000010438","PRSS3",4,4
"ENSG00000010539","ZNF200",309,267
"ENSG00000010610","CD4",2417,2363
"ENSG00000010626","LRRC23",262,254
"ENSG00000010671","BTK",2471,2434
"ENSG00000010704","HFE",161,158
"ENSG00000010803","SCMH1",3410,3180
"ENSG00000010810","FYN",2989,2946
"ENSG00000010818","HIVEP2",2850,2727
"ENSG00000010932","FMO1",3,3
"ENSG00000011007","ELOA",1350,1247
"ENSG00000011009","LYPLA2",945,934
"ENSG00000011021","CLCN6",2068,2021
"ENSG00000011028","MRC2",1019,910
"ENSG00000011052","NME1-NME2",5,0
"ENSG00000011083","SLC6A7",1,1
"ENSG00000011105","TSPAN9",83,80
"ENSG00000011114","BTBD7",2495,2462
"ENSG00000011132","APBA3",567,487
"ENSG00000011143","MKS1",397,424
"ENSG00000011198","ABHD5",1346,2356
"ENSG00000011201","ANOS1",6,6
"ENSG00000011243","AKAP8L",1897,1378
"ENSG00000011258","MBTD1",2866,2830
"ENSG00000011260","UTP18",1292,1278
"ENSG00000011275","RNF216",3721,3660
"ENSG00000011295","TTC19",3072,2924
"ENSG00000011304","PTBP1",8464,8356
"ENSG00000011332","DPF1",68,69
"ENSG00000011347","SYT7",4,3
"ENSG00000011376","LARS2",1223,1565
"ENSG00000011405","PIK3C2A",2551,2521
"ENSG00000011422","PLAUR",1307,1290
"ENSG00000011426","ANLN",1451,1389
"ENSG00000011451","WIZ",2122,2149
"ENSG00000011454","RABGAP1",1939,1897
"ENSG00000011465","DCN",295,294
"ENSG00000011478","QPCTL",509,510
"ENSG00000011485","PPP5C",2453,2157
"ENSG00000011523","CEP68",2145,2039
"ENSG00000011566","MAP4K3",1106,1089
"ENSG00000011590","ZBTB32",91,89
"ENSG00000011600","TYROBP",1270,1246
"ENSG00000011638","TMEM159",395,388
"ENSG00000011677","GABRA3",0,0
"ENSG00000012048","BRCA1",2133,2098
"ENSG00000012061","ERCC1",1718,1437
"ENSG00000012124","CD22",928,883
"ENSG00000012171","SEMA3B",64,62
"ENSG00000012174","MBTPS2",959,932
"ENSG00000012211","PRICKLE3",398,389
"ENSG00000012223","LTF",4091,4024
"ENSG00000012232","EXTL3",1373,1338
"ENSG00000012504","NR1H4",0,0
"ENSG00000012660","ELOVL5",2886,2857
"ENSG00000012779","ALOX5",2288,2251
"ENSG00000012817","KDM5D",10016,9773
"ENSG00000012822","CALCOCO1",2627,2562
"ENSG00000012963","UBR7",1407,1237
"ENSG00000012983","MAP4K5",2940,2620
"ENSG00000013016","EHD3",529,520
"ENSG00000013275","PSMC4",986,982
"ENSG00000013288","MAN2B2",4228,4139
"ENSG00000013293","SLC7A14",0,0
"ENSG00000013297","CLDN11",17,13
"ENSG00000013306","SLC25A39",2644,2581
"ENSG00000013364","MVP",2099,1791
"ENSG00000013374","NUB1",2185,1987
"ENSG00000013375","PGM3",748,642
"ENSG00000013392","RWDD2A",59,59
"ENSG00000013441","CLK1",6466,6386
"ENSG00000013503","POLR3B",450,412
"ENSG00000013523","ANGEL1",1572,1302
"ENSG00000013561","RNF14",660,629
"ENSG00000013563","DNASE1L1",651,268
"ENSG00000013573","DDX11",1985,1962
"ENSG00000013583","HEBP1",1289,1258
"ENSG00000013588","GPRC5A",6,6
"ENSG00000013619","MAMLD1",127,126
"ENSG00000013725","CD6",726,706
"ENSG00000013810","TACC3",4974,5208
"ENSG00000014123","UFL1",1287,1272
"ENSG00000014138","POLA2",1752,325
"ENSG00000014164","ZC3H3",3412,3313
"ENSG00000014216","CAPN1",5927,5793
"ENSG00000014257","ACP3",911,892
"ENSG00000014641","MDH1",1836,1821
"ENSG00000014824","SLC30A9",1718,1703
"ENSG00000014914","MTMR11",82,79
"ENSG00000014919","COX15",1900,1252
"ENSG00000015133","CCDC88C",6099,5959
"ENSG00000015153","YAF2",1137,1121
"ENSG00000015171","ZMYND11",2378,2338
"ENSG00000015285","WAS",4086,3988
"ENSG00000015413","DPEP1",157,153
"ENSG00000015475","BID",1189,1170
"ENSG00000015479","MATR3",1114,874
"ENSG00000015520","NPC1L1",45,42
"ENSG00000015532","XYLT2",1653,1610
"ENSG00000015568","RGPD5",0,3
"ENSG00000015592","STMN4",2,2
"ENSG00000015676","NUDCD3",3234,3186
"ENSG00000016082","ISL1",0,0
"ENSG00000016391","CHDH",15,15
"ENSG00000016402","IL20RA",0,0
"ENSG00000016490","CLCA1",0,0
"ENSG00000016602","CLCA4",3,3
"ENSG00000016864","GLT8D1",1134,1117
"ENSG00000017260","ATP2C1",5476,5342
"ENSG00000017427","IGF1",9,7
"ENSG00000017483","SLC38A5",1655,1624
"ENSG00000017797","RALBP1",2558,2627
"ENSG00000018189","RUFY3",1362,1482
"ENSG00000018236","CNTN1",68,68
"ENSG00000018280","SLC11A1",692,676
"ENSG00000018408","WWTR1",130,119
"ENSG00000018510","AGPS",2672,2640
"ENSG00000018607","ZNF806",0,0
"ENSG00000018610","CXorf56",410,403
"ENSG00000018625","ATP1A2",22,21
"ENSG00000018699","TTC27",774,763
"ENSG00000018869","ZNF582",166,124
"ENSG00000019102","VSIG2",171,164
"ENSG00000019144","PHLDB1",73,67
"ENSG00000019169","MARCO",10,10
"ENSG00000019186","CYP24A1",0,0
"ENSG00000019485","PRDM11",2092,2047
"ENSG00000019505","SYT13",2,1
"ENSG00000019549","SNAI2",134,134
"ENSG00000019582","CD74",50103,49545
"ENSG00000019991","HGF",2654,2746
"ENSG00000019995","ZRANB1",943,729
"ENSG00000020129","NCDN",1319,1265
"ENSG00000020181","ADGRA2",3418,3159
"ENSG00000020219","CCT8L1P",5,5
"ENSG00000020256","ZFP64",714,704
"ENSG00000020426","MNAT1",269,216
"ENSG00000020577","SAMD4A",65,66
"ENSG00000020633","RUNX3",4282,4195
"ENSG00000020922","MRE11",3076,3044
"ENSG00000021300","PLEKHB1",195,192
"ENSG00000021355","SERPINB1",14065,13930
"ENSG00000021461","CYP3A43",1,1
"ENSG00000021488","SLC7A9",9,6
"ENSG00000021574","SPAST",1089,1121
"ENSG00000021645","NRXN3",39,39
"ENSG00000021762","OSBPL5",1682,1635
"ENSG00000021776","AQR",3185,3139
"ENSG00000021826","CPS1",12,14
"ENSG00000021852","C8B",0,0
"ENSG00000022267","FHL1",1766,1737
"ENSG00000022277","RTF2",1847,1393
"ENSG00000022355","GABRA1",0,0
"ENSG00000022556","NLRP2",197,193
"ENSG00000022567","SLC45A4",692,668
"ENSG00000022840","RNF10",5288,4745
"ENSG00000022976","ZNF839",551,516
"ENSG00000023041","ZDHHC6",1697,1675
"ENSG00000023171","GRAMD1B",1333,1743
"ENSG00000023191","RNH1",2415,2352
"ENSG00000023228","NDUFS1",3165,3014
"ENSG00000023287","RB1CC1",4397,4335
"ENSG00000023318","ERP44",2231,2210
"ENSG00000023330","ALAS1",1350,1326
"ENSG00000023445","BIRC3",1066,1021
"ENSG00000023516","AKAP11",4712,4653
"ENSG00000023572","GLRX2",126,601
"ENSG00000023608","SNAPC1",249,175
"ENSG00000023697","DERA",952,945
"ENSG00000023734","STRAP",2201,2170
"ENSG00000023839","ABCC2",199,207
"ENSG00000023892","DEF6",2888,2850
"ENSG00000023902","PLEKHO1",1884,1842
"ENSG00000023909","GCLM",844,833
"ENSG00000024048","UBR2",5033,4980
"ENSG00000024422","EHD2",581,566
"ENSG00000024526","DEPDC1",330,276
"ENSG00000024862","CCDC28A",394,385
"ENSG00000025039","RRAGD",1879,1851
"ENSG00000025156","HSF2",644,637
"ENSG00000025293","PHF20",2528,2489
"ENSG00000025423","HSD17B6",20,19
"ENSG00000025434","NR1H3",1156,1122
"ENSG00000025708","TYMP",588,503
"ENSG00000025770","NCAPH2",1160,1143
"ENSG00000025772","TOMM34",703,687
"ENSG00000025796","SEC63",3416,3252
"ENSG00000025800","KPNA6",4206,3903
"ENSG00000026025","VIM",29139,15698
"ENSG00000026036","RTEL1-TNFRSF6B",477,289
"ENSG00000026103","FAS",770,712
"ENSG00000026297","RNASET2",2474,2132
"ENSG00000026508","CD44",21784,20202
"ENSG00000026559","KCNG1",15,11
"ENSG00000026652","AGPAT4",1697,2471
"ENSG00000026751","SLAMF7",981,968
"ENSG00000026950","BTN3A1",3191,3152
"ENSG00000027001","MIPEP",290,284
"ENSG00000027075","PRKCH",2330,2071
"ENSG00000027644","INSRR",10,10
"ENSG00000027697","IFNGR1",2430,2487
"ENSG00000027847","B4GALT7",1636,1598
"ENSG00000027869","SH2D2A",234,229
"ENSG00000028116","VRK2",1042,886
