"genes","symbol","v15.Counts","v32.Counts","relative_change_v15tov32","relative_change_v32tov15","absolute_change"
"ENSG00000029364","SLC39A9",4207,4137,0.0166389351081531,0.0169204737732657,70
"ENSG00000029534","ANK1",173,166,0.0404624277456647,0.0421686746987952,7
"ENSG00000029559","IBSP",0,0,NA,NA,0
"ENSG00000029639","TFB1M",366,351,0.040983606557377,0.0427350427350427,15
"ENSG00000029725","RABEP1",3255,2479,0.238402457757296,0.313029447357806,776
"ENSG00000029993","HMGB3",1252,1241,0.00878594249201278,0.0088638195004029,11
"ENSG00000030066","NUP160",6089,5956,0.0218426671046149,0.0223304231027535,133
"ENSG00000030110","BAK1",921,829,0.0998914223669924,0.110977080820265,92
"ENSG00000030304","MUSK",14,15,0.0714285714285714,0.0666666666666667,1
"ENSG00000030419","IKZF2",457,442,0.0328227571115974,0.0339366515837104,15
"ENSG00000030582","GRN",24740,23983,0.0305982215036378,0.0315640245173665,757
"ENSG00000031003","FAM13B",2991,2675,0.105650284185891,0.118130841121495,316
"ENSG00000031081","ARHGAP31",1109,1084,0.0225428313796213,0.0230627306273063,25
"ENSG00000031691","CENPQ",477,451,0.0545073375262055,0.057649667405765,26
"ENSG00000031698","SARS1",2306,2269,0.0160450997398092,0.0163067430586161,37
"ENSG00000031823","RANBP3",1958,1909,0.0250255362614913,0.0256678889470927,49
"ENSG00000032219","ARID4A",3691,3600,0.0246545651584936,0.0252777777777778,91
"ENSG00000032389","EIPR1",916,897,0.0207423580786026,0.0211817168338907,19
"ENSG00000032444","PNPLA6",2758,2442,0.114575779550399,0.129402129402129,316
"ENSG00000032742","IFT88",408,383,0.0612745098039216,0.0652741514360313,25
"ENSG00000033011","ALG1",420,358,0.147619047619048,0.173184357541899,62
"ENSG00000033030","ZCCHC8",1629,1621,0.0049109883364027,0.00493522516964837,8
"ENSG00000033050","ABCF2",2152,424,0.802973977695167,4.07547169811321,1728
"ENSG00000033100","CHPF2",2714,2532,0.0670596904937362,0.0718799368088468,182
"ENSG00000033122","LRRC7",139,145,0.0431654676258993,0.0413793103448276,6
"ENSG00000033170","FUT8",832,816,0.0192307692307692,0.0196078431372549,16
"ENSG00000033178","UBA6",3166,3094,0.0227416298168035,0.0232708468002586,72
"ENSG00000033327","GAB2",5899,5470,0.0727241905407696,0.0784277879341865,429
"ENSG00000033627","ATP6V0A1",2392,2314,0.0326086956521739,0.0337078651685393,78
"ENSG00000033800","PIAS1",6952,6009,0.135644418872267,0.156931269762024,943
"ENSG00000033867","SLC4A7",3191,3132,0.0184895017235976,0.0188378033205619,59
"ENSG00000034053","APBA2",40,40,0,0,0
