"rank_change","symbol","rank","padj","gene"
769,"FTLP3",55,1.32969518035228e-15,"ENSG00000226608"
46,"ECM2",56,1.6052687568621e-15,"ENSG00000106823"
98,"DAPK2",57,2.2791468173983e-15,"ENSG00000035664"
49,"KIAA1549",58,2.55257266078723e-15,"ENSG00000122778"
83,"PDZK1IP1",59,3.74662116240266e-15,"ENSG00000162366"
170,"JMJD6",60,3.85479967141949e-15,"ENSG00000070495"
585,"ATP8B1",61,4.27159167994408e-15,"ENSG00000081923"
117,"BRCA2",62,4.27159167994408e-15,"ENSG00000139618"
74,"IFITM2",63,5.33226740300021e-15,"ENSG00000185201"
NA,"BX571818.1",64,6.335742983977e-15,"ENSG00000285417"
120,"ATAD2",65,8.22745505623113e-15,"ENSG00000156802"
145,"DNAJB2",66,9.2045527414543e-15,"ENSG00000135924"
126,"PGLYRP1",67,1.04772689639434e-14,"ENSG00000008438"
110,"GPSM3",68,1.16170781316561e-14,"ENSG00000213654"
1321,"FTH1P7",69,1.30517531148717e-14,"ENSG00000232187"
79,"RNF10",70,1.32314755289753e-14,"ENSG00000022840"
63,"AGPAT5",71,1.32314755289753e-14,"ENSG00000155189"
123,"PROM1",72,1.60381348994101e-14,"ENSG00000007062"
116,"CMTM2",73,2.06549230444816e-14,"ENSG00000140932"
142,"WBP2",74,2.07009496262685e-14,"ENSG00000132471"
122,"IL1R2",75,2.35348541195551e-14,"ENSG00000115590"
111,"TRPM6",76,2.37153933387916e-14,"ENSG00000119121"
115,"GUK1",77,2.46260243839691e-14,"ENSG00000143774"
106,"ISG15",78,4.31433541326194e-14,"ENSG00000187608"
73,"PLIN5",79,4.32879022867941e-14,"ENSG00000214456"
-6,"HBQ1",80,5.217347410941e-14,"ENSG00000086506"
197,"MYH1",81,5.33690579314425e-14,"ENSG00000109061"
92,"AQP9",82,5.46812434231164e-14,"ENSG00000103569"
218,"HSPB7",83,5.46812434231164e-14,"ENSG00000173641"
-6,"CSPP1",84,7.35532482514262e-14,"ENSG00000104218"
77,"WDHD1",85,7.36569454431818e-14,"ENSG00000198554"
330,"FAM107A",86,7.41655938078137e-14,"ENSG00000168309"
63,"KIR2DS4",87,9.38481783454498e-14,"ENSG00000221957"
92,"ELAPOR1",88,9.70988473395839e-14,"ENSG00000116299"
179,"NAMPT",89,1.27771340259008e-13,"ENSG00000105835"
622,"GFAP",90,1.34446196307726e-13,"ENSG00000131095"
684,"DKK3",91,1.45100970387871e-13,"ENSG00000050165"
1259,"IFITM3P1",92,1.45420206983277e-13,"ENSG00000236562"
141,"SCML2",93,1.57145239168631e-13,"ENSG00000102098"
438,"LINC02289",94,2.04680746012729e-13,"ENSG00000258819"
262,"PDLIM3",95,2.50632288503214e-13,"ENSG00000154553"
169,"DUSP13",96,2.56181060633905e-13,"ENSG00000079393"
183,"NECAB2",97,2.56181060633905e-13,"ENSG00000103154"
304,"CIB1",98,2.76649502994944e-13,"ENSG00000185043"
40,"STARD4-AS1",99,3.38515868673871e-13,"ENSG00000246859"
117,"LITAF",100,3.70970482095398e-13,"ENSG00000189067"
213,"INPP5K",101,3.88566922250155e-13,"ENSG00000132376"
105,"QSER1",102,4.26711159738539e-13,"ENSG00000060749"
135,"KRT1",103,4.33018032993971e-13,"ENSG00000167768"
119,"SPOCD1",104,4.56638637719662e-13,"ENSG00000134668"
58,"PLK4",105,4.6138329988073e-13,"ENSG00000142731"
202,"PPP2R5B",106,4.98377105672893e-13,"ENSG00000068971"
121,"HSPA6",107,4.98377105672893e-13,"ENSG00000173110"
127,"PHOSPHO1",108,4.98377105672893e-13,"ENSG00000173868"
122,"SOGA1",109,5.16800873445896e-13,"ENSG00000149639"
123,"ZC3H12C",110,5.63438018875658e-13,"ENSG00000149289"
116,"HLA-E",111,5.63438018875658e-13,"ENSG00000204592"
308,"CKM",112,5.9923317862801e-13,"ENSG00000104879"
75,"CIP2A",113,6.37075741167955e-13,"ENSG00000163507"
-27,"JPX",114,8.90405470501817e-13,"ENSG00000225470"
130,"IL18RAP",115,9.25502947434128e-13,"ENSG00000115607"
66,"C10orf105",116,9.77168984790265e-13,"ENSG00000214688"
947,"MEST",117,1.03505770645375e-12,"ENSG00000106484"
151,"PLIN2",118,1.07830115972521e-12,"ENSG00000147872"
250,"MYL1",119,1.07830115972521e-12,"ENSG00000168530"
179,"ELOF1",120,1.30009882395436e-12,"ENSG00000130165"
177,"GEN1",121,1.55673593702101e-12,"ENSG00000178295"
191,"FOXO4",122,1.58873043295782e-12,"ENSG00000184481"
143,"OLAH",123,1.60240605866855e-12,"ENSG00000152463"
NA,"AL136171.2",124,1.7555741364163e-12,"ENSG00000286071"
165,"MAP2K3",125,1.95805708660878e-12,"ENSG00000034152"
151,"FGD3",126,2.09768327528868e-12,"ENSG00000127084"
159,"SOX4",127,2.23437778592241e-12,"ENSG00000124766"
12,"ASPM",128,2.5481315727419e-12,"ENSG00000066279"
300,"TNNI1",129,2.5481315727419e-12,"ENSG00000159173"
30,"POLQ",130,2.64734141204268e-12,"ENSG00000051341"
55,"KLHL41",131,2.76249113361529e-12,"ENSG00000239474"
138,"REM2",132,2.91528074849706e-12,"ENSG00000139890"
234,"SLC22A1",133,2.98506834628952e-12,"ENSG00000175003"
105,"TNS3",134,3.17132122696803e-12,"ENSG00000136205"
172,"BSG",135,3.35120977576311e-12,"ENSG00000172270"
556,"CMYA5",136,3.61681820745917e-12,"ENSG00000164309"
NA,"AC244102.3",137,3.64003364002304e-12,"ENSG00000286051"
138,"RAC2",138,3.66028525402873e-12,"ENSG00000128340"
52,"HELLPAR",139,4.75804683909055e-12,"ENSG00000281344"
148,"HELLS",140,5.56059517976811e-12,"ENSG00000119969"
122,"PLK3",141,5.62784828183765e-12,"ENSG00000173846"
243,"PDLIM7",142,5.70515767117559e-12,"ENSG00000196923"
146,"SLC25A39",143,6.39495956848175e-12,"ENSG00000013306"
172,"ZNF660",144,6.39495956848175e-12,"ENSG00000144792"
158,"PFKFB3",145,6.51737761055125e-12,"ENSG00000170525"
1813,"SFTPB",146,6.56888176775544e-12,"ENSG00000168878"
374,"MYOZ1",147,6.79304183638403e-12,"ENSG00000177791"
837,"TRDN",148,6.99185848784709e-12,"ENSG00000186439"
49,"KIR2DL3",149,7.07922418313718e-12,"ENSG00000243772"
108,"CBX2",150,7.9374617499701e-12,"ENSG00000173894"
203,"DOCK7",151,8.2761725497681e-12,"ENSG00000116641"
227,"LTB",152,8.75056670375014e-12,"ENSG00000227507"
-39,"B4GALT6",153,9.17371737278714e-12,"ENSG00000118276"
-131,"POMK",154,9.38316636305906e-12,"ENSG00000185900"
385,"TREM1",155,9.4986048868907e-12,"ENSG00000124731"
-90,"SIGLEC5",156,9.85624139107812e-12,"ENSG00000105501"
333,"PARPBP",157,9.95376910400913e-12,"ENSG00000185480"
163,"NINJ1",158,1.10536079106734e-11,"ENSG00000131669"
398,"HSPB8",159,1.10536079106734e-11,"ENSG00000152137"
185,"XPO6",160,1.10536079106734e-11,"ENSG00000169180"
16,"HBA1",161,1.10536079106734e-11,"ENSG00000206172"
12387,"NREP",162,1.3297352964544e-11,"ENSG00000134986"
43,"CHROMR",163,1.35250894385943e-11,"ENSG00000223960"
296,"EFCAB13",164,1.57034321359003e-11,"ENSG00000178852"
340,"ARNTL2",165,1.73774836796545e-11,"ENSG00000029153"
302,"NOSIP",166,1.9328055762593e-11,"ENSG00000142546"
217,"GADD45B",167,1.99759748097371e-11,"ENSG00000099860"
221,"CDCA7",168,2.02273472683608e-11,"ENSG00000144354"
126,"CEBPB",169,2.06707138129524e-11,"ENSG00000172216"
6605,"FTH1P12",170,2.11002387103772e-11,"ENSG00000213362"
403,"KCNQ1OT1",171,2.17521889529641e-11,"ENSG00000269821"
101,"MTBP",172,2.35335012374591e-11,"ENSG00000172167"
266,"ITGAX",173,2.55137289828136e-11,"ENSG00000140678"
-33,"KLHL23",174,2.66256026853908e-11,"ENSG00000213160"
224,"GNAI1",175,2.77490097702048e-11,"ENSG00000127955"
318,"TSC22D4",176,2.893329768266e-11,"ENSG00000166925"
165,"UBXN6",177,2.893329768266e-11,"ENSG00000167671"
330,"LRP12",178,3.25225246735577e-11,"ENSG00000147650"
556,"AC018607.1",179,3.83272557879942e-11,"ENSG00000254325"
426,"KIF24",180,4.057220617877e-11,"ENSG00000186638"
182,"SAT1",181,4.71567759207956e-11,"ENSG00000130066"
363,"GUCY1A1",182,4.71567759207956e-11,"ENSG00000164116"
154,"ZNF460",183,4.71567759207956e-11,"ENSG00000197714"
67,"MYO5C",184,5.06834455948495e-11,"ENSG00000128833"
168,"HCAR3",185,5.12150614126026e-11,"ENSG00000255398"
534,"HSD11B1-AS1",186,5.24198417362035e-11,"ENSG00000227591"
115,"MMP9",187,5.74509537548134e-11,"ENSG00000100985"
186,"CD8B",188,5.74509537548134e-11,"ENSG00000172116"
155,"PRF1",189,5.83861583741982e-11,"ENSG00000180644"
242,"BUB1B",190,6.06068875053395e-11,"ENSG00000156970"
7831,"AC024896.1",191,6.1834972361493e-11,"ENSG00000247903"
542,"MHENCR",192,6.32719278387781e-11,"ENSG00000232442"
178,"RAB20",193,6.55510595928925e-11,"ENSG00000139832"
577,"CRYAB",194,6.85375572803288e-11,"ENSG00000109846"
13012,"HLTF",195,6.96300845221564e-11,"ENSG00000071794"
-27,"KIF14",196,6.96300845221564e-11,"ENSG00000118193"
317,"BDP1",197,6.98099901865683e-11,"ENSG00000145734"
551,"ITGA9-AS1",198,7.02620632901443e-11,"ENSG00000235257"
416,"AC245060.5",199,7.34186881608591e-11,"ENSG00000274422"
175,"CST7",200,7.77617627720697e-11,"ENSG00000077984"
139,"BCL2L1",201,8.8644656229757e-11,"ENSG00000171552"
174,"KNTC1",202,9.07479837411625e-11,"ENSG00000184445"
250,"SHPRH",203,9.32079573351027e-11,"ENSG00000146414"
3371,"IFITM9P",204,9.32079573351027e-11,"ENSG00000213275"
201,"CEP295",205,1.01438499945315e-10,"ENSG00000166004"
124,"VNN2",206,1.06976355844517e-10,"ENSG00000112303"
346,"CAMK2N1",207,1.11372497003023e-10,"ENSG00000162545"
165,"PTGES",208,1.12913480177786e-10,"ENSG00000148344"
243,"EHD1",209,1.17475457404726e-10,"ENSG00000110047"
149,"MMS22L",210,1.23613532556668e-10,"ENSG00000146263"
175,"GABARAPL1",211,1.28952893695766e-10,"ENSG00000139112"
827,"TRIM63",212,1.30333787137456e-10,"ENSG00000158022"
294,"TOM1",213,1.34194931869508e-10,"ENSG00000100284"
186,"ZNF618",214,1.34947888463958e-10,"ENSG00000157657"
28,"FBXL19-AS1",215,1.35195245619753e-10,"ENSG00000260852"
33,"FOXP1-IT1",216,1.37612550765604e-10,"ENSG00000242094"
138,"HBB",217,1.3926672271335e-10,"ENSG00000244734"
114,"DEDD2",218,1.45790221553359e-10,"ENSG00000160570"
-98,"AC130456.3",219,1.60172114085417e-10,"ENSG00000260592"
243,"PRKD2",220,1.75016576313515e-10,"ENSG00000105287"
120,"ZBED3-AS1",221,2.00962430606162e-10,"ENSG00000250802"
170,"PTH2R",222,2.06538605777263e-10,"ENSG00000144407"
650,"AL627309.7",223,2.07502492632504e-10,"ENSG00000269981"
646,"CPE",224,2.19216259462235e-10,"ENSG00000109472"
337,"PLAGL1",225,2.19267494632625e-10,"ENSG00000118495"
-151,"CTSD",226,2.35531964966425e-10,"ENSG00000117984"
207,"CAMP",227,2.52579452950015e-10,"ENSG00000164047"
194,"NKG7",228,2.61392756569653e-10,"ENSG00000105374"
277,"SLC25A37",229,2.63558507294435e-10,"ENSG00000147454"
208,"GNB2",230,2.80772160827928e-10,"ENSG00000172354"
291,"OPLAH",231,2.80772160827928e-10,"ENSG00000178814"
191,"MGAM",232,2.80772160827928e-10,"ENSG00000257335"
223,"UBA52",233,2.86483695243013e-10,"ENSG00000221983"
212,"CYSTM1",234,2.88066177106002e-10,"ENSG00000120306"
261,"TNIP1",235,2.88066177106002e-10,"ENSG00000145901"
1968,"IFITM3P2",236,3.23684028596263e-10,"ENSG00000223722"
170,"FPR1",237,3.31251699727603e-10,"ENSG00000171051"
296,"SIPA1L2",238,3.35461543327517e-10,"ENSG00000116991"
235,"MANEA",239,3.49021355259426e-10,"ENSG00000172469"
187,"SMC2",240,3.52931497754052e-10,"ENSG00000136824"
403,"ZNF850",241,3.64265070724888e-10,"ENSG00000267041"
1437,"AL031846.1",242,3.85846252660749e-10,"ENSG00000225720"
229,"CLIC3",243,4.01780527204316e-10,"ENSG00000169583"
112,"KIR2DL1",244,4.04069022200818e-10,"ENSG00000125498"
254,"PIK3IP1",245,4.07764895544674e-10,"ENSG00000100100"
247,"AKAP9",246,4.40206439800202e-10,"ENSG00000127914"
188,"FRMD5",247,4.66086363917608e-10,"ENSG00000171877"
222,"ECE1",248,4.67136975493082e-10,"ENSG00000117298"
121,"DSCC1",249,4.67756389073592e-10,"ENSG00000136982"
130,"VAMP5",250,4.78245548789854e-10,"ENSG00000168899"
84,"ANKRD55",251,4.83859832034774e-10,"ENSG00000164512"
838,"SUV39H2",252,4.8797643115214e-10,"ENSG00000152455"
332,"EDF1",253,4.96510902791323e-10,"ENSG00000107223"
98,"GNGT2",254,5.04421376355173e-10,"ENSG00000167083"
305,"SLN",255,5.52160493826865e-10,"ENSG00000170290"
163,"ALDOC",256,5.5938012080152e-10,"ENSG00000109107"
180,"TMCC1-AS1",257,5.5938012080152e-10,"ENSG00000271270"
157,"HBA2",258,5.61602212810756e-10,"ENSG00000188536"
52,"ZBTB20",259,5.71049599039968e-10,"ENSG00000181722"
561,"MAP2K2",260,6.14729323294752e-10,"ENSG00000126934"
335,"LINC01270",261,6.78005334079529e-10,"ENSG00000203999"
1463,"INSYN2B",262,6.78005334079529e-10,"ENSG00000204767"
389,"ACOT11",263,6.87032228125841e-10,"ENSG00000162390"
-27,"SERF2",264,6.92382211666594e-10,"ENSG00000140264"
163,"MARCKS",265,7.00748865016043e-10,"ENSG00000277443"
290,"TRIM24",266,7.41326730620461e-10,"ENSG00000122779"
749,"MYL9",267,7.84857312871668e-10,"ENSG00000101335"
146,"SYN1",268,8.30464685477998e-10,"ENSG00000008056"
279,"RAD51AP1",269,8.35792453911681e-10,"ENSG00000111247"
54,"AC023389.2",270,8.35792453911681e-10,"ENSG00000265713"
-104,"KLHL11",271,8.7380456193487e-10,"ENSG00000178502"
255,"MAP7D1",272,8.98714102860746e-10,"ENSG00000116871"
705,"ZNF808",273,9.60348762139183e-10,"ENSG00000198482"
904,"ANKRD26",274,1.04230950788443e-09,"ENSG00000107890"
234,"BMX",275,1.05235182458013e-09,"ENSG00000102010"
250,"LRRCC1",276,1.06175378044862e-09,"ENSG00000133739"
274,"LPCAT1",277,1.09788427062817e-09,"ENSG00000153395"
133,"AC005072.1",278,1.16239452452695e-09,"ENSG00000272219"
314,"TRADD",279,1.23729220534816e-09,"ENSG00000102871"
401,"CCDC14",280,1.29657383576717e-09,"ENSG00000175455"
269,"PM20D2",281,1.3271685544624e-09,"ENSG00000146281"
-3,"MTCO1P11",282,1.33147154458384e-09,"ENSG00000224083"
1091,"NCR1",283,1.41976679673013e-09,"ENSG00000189430"
600,"CPXM1",284,1.41981970117088e-09,"ENSG00000088882"
231,"DMTN",285,1.53871092883909e-09,"ENSG00000158856"
408,"SLC22A18",286,1.58559682458347e-09,"ENSG00000110628"
470,"DHX34",287,1.64839005222373e-09,"ENSG00000134815"
247,"APOBEC3A",288,1.87281876348425e-09,"ENSG00000128383"
286,"FIGNL1",289,1.87281876348425e-09,"ENSG00000132436"
78,"PUS7",290,1.94024616558313e-09,"ENSG00000091127"
446,"BRCA1",291,2.00505901292325e-09,"ENSG00000012048"
199,"NAV1",292,2.11866015425956e-09,"ENSG00000134369"
245,"CCND3",293,2.16955037824225e-09,"ENSG00000112576"
NA,"FGF13",294,2.18581881274502e-09,"ENSG00000129682"
223,"IL32",295,2.2433383858149e-09,"ENSG00000008517"
NA,"AC000065.1",296,2.68584409214097e-09,"ENSG00000286742"
2013,"ESRP2",297,2.70451894969311e-09,"ENSG00000103067"
368,"ARHGAP9",298,2.70451894969311e-09,"ENSG00000123329"
318,"WAS",299,2.73846160921662e-09,"ENSG00000015285"
197,"PHC2",300,2.7503651868336e-09,"ENSG00000134686"
-34,"AC211433.1",301,2.90143939298785e-09,"ENSG00000232729"
381,"HAGH",302,2.98630272751933e-09,"ENSG00000063854"
420,"LIMK2",303,2.98814628452815e-09,"ENSG00000182541"
226,"SELPLG",304,3.1850760074622e-09,"ENSG00000110876"
284,"TNFSF14",305,3.1850760074622e-09,"ENSG00000125735"
345,"CCDC18",306,3.29130035032042e-09,"ENSG00000122483"
305,"DES",307,3.30007276781744e-09,"ENSG00000175084"
1011,"MYH6",308,3.30007276781744e-09,"ENSG00000197616"
240,"HCAR2",309,3.33901010878142e-09,"ENSG00000182782"
337,"SBNO2",310,3.37330572939089e-09,"ENSG00000064932"
951,"IGFN1",311,3.37343475877106e-09,"ENSG00000163395"
251,"TMTC4",312,3.49504244142062e-09,"ENSG00000125247"
229,"CYTIP",313,3.56103012863647e-09,"ENSG00000115165"
408,"FANCM",314,3.71782883355049e-09,"ENSG00000187790"
142,"KIAA1522",315,3.8084931557291e-09,"ENSG00000162522"
85,"AC020951.1",316,3.8084931557291e-09,"ENSG00000278897"
76,"AC132216.1",317,3.93120601665554e-09,"ENSG00000184566"
455,"DPY19L4",318,4.49335320878685e-09,"ENSG00000156162"
102,"GSTCD",319,4.62840526224147e-09,"ENSG00000138780"
219,"PPP1R18",320,4.63607504716469e-09,"ENSG00000146112"
300,"G6PD",321,4.74225117885797e-09,"ENSG00000160211"
1767,"KLHDC1",322,4.74225117885797e-09,"ENSG00000197776"
NA,"AP000331.1",323,4.74225117885797e-09,"ENSG00000286153"
712,"PPP4C",324,4.82602808600239e-09,"ENSG00000149923"
601,"SHKBP1",325,5.38060703456902e-09,"ENSG00000160410"
1394,"SRL",326,5.56091798655723e-09,"ENSG00000185739"
1826,"CICP27",327,5.59225231692668e-09,"ENSG00000233750"
6,"PTPN14",328,5.63301705549349e-09,"ENSG00000152104"
1353,"SPDYE3",329,5.68133283440514e-09,"ENSG00000214300"
279,"PSME1",330,5.95558353962299e-09,"ENSG00000092010"
273,"KNL1",331,5.95558353962299e-09,"ENSG00000137812"
72,"AC010997.6",332,5.95558353962299e-09,"ENSG00000279814"
405,"IGSF10",333,6.07219296716197e-09,"ENSG00000152580"
106,"BORCS6",334,6.10633707864467e-09,"ENSG00000196544"
31,"WT1",335,6.1198131115889e-09,"ENSG00000184937"
55,"STIL",336,6.12902442525416e-09,"ENSG00000123473"
433,"MYSM1",337,6.46423621404569e-09,"ENSG00000162601"
352,"FIS1",338,6.51940820285075e-09,"ENSG00000214253"
-134,"AC011405.1",339,6.55630773295989e-09,"ENSG00000249593"
248,"BPGM",340,6.81737916771775e-09,"ENSG00000172331"
307,"BCL2A1",341,6.82026767823978e-09,"ENSG00000140379"
205,"LRP10",342,6.82026767823978e-09,"ENSG00000197324"
198,"RHOG",343,6.95348941338503e-09,"ENSG00000177105"
134,"HSD11B1",344,7.02935049535731e-09,"ENSG00000117594"
383,"MBLAC2",345,7.1180016798151e-09,"ENSG00000176055"
380,"MIB1",346,7.3505477342236e-09,"ENSG00000101752"
378,"CREM",347,7.39825049054699e-09,"ENSG00000095794"
253,"H19",348,7.45006948059047e-09,"ENSG00000130600"
273,"ZFP36L1",349,7.54274514637298e-09,"ENSG00000185650"
754,"BMS1P1",350,7.54274514637298e-09,"ENSG00000204177"
346,"TFE3",351,7.79246912549514e-09,"ENSG00000068323"
248,"CCR7",352,7.84736201545855e-09,"ENSG00000126353"
-72,"AC092279.1",353,7.99140509308785e-09,"ENSG00000268362"
389,"HLA-C",354,8.1167703076164e-09,"ENSG00000204525"
199,"MVP",355,8.3566225519498e-09,"ENSG00000013364"
249,"ADGRG3",356,8.40083368793777e-09,"ENSG00000182885"
528,"UBXN1",357,8.45767633133551e-09,"ENSG00000162191"
1058,"RTN1",358,8.54408310323251e-09,"ENSG00000139970"
219,"RBM41",359,8.64367071709735e-09,"ENSG00000089682"
347,"PAICS",360,8.74571300478103e-09,"ENSG00000128050"
49,"PHACTR2-AS1",361,8.74571300478103e-09,"ENSG00000235740"
298,"SMAP2",362,8.76938180255612e-09,"ENSG00000084070"
351,"TSSC4",363,9.1793529235188e-09,"ENSG00000184281"
281,"C4BPA",364,9.1914602491132e-09,"ENSG00000123838"
226,"CENPE",365,9.2250288785286e-09,"ENSG00000138778"
806,"AC005392.2",366,9.24914178138921e-09,"ENSG00000231412"
467,"LGALS9C",367,9.52475447199747e-09,"ENSG00000171916"
306,"GZMM",368,9.57752878797904e-09,"ENSG00000197540"
606,"WASH8P",369,9.60609431496017e-09,"ENSG00000226210"
765,"CHML",370,9.69213883170542e-09,"ENSG00000203668"
488,"MAP1LC3A",371,9.82087885252772e-09,"ENSG00000101460"
241,"SERTAD3",372,9.82087885252772e-09,"ENSG00000167565"
307,"CYTL1",373,9.82087885252772e-09,"ENSG00000170891"
NA,"AL008730.1",374,9.82087885252772e-09,"ENSG00000286616"
325,"SLC16A3",375,9.85621142935962e-09,"ENSG00000141526"
282,"SLC2A3",376,1.00718363184476e-08,"ENSG00000059804"
6,"ADGRA3",377,1.00781021760475e-08,"ENSG00000152990"
183,"MME",378,1.01382466041442e-08,"ENSG00000196549"
677,"PTPRN",379,1.03907869090619e-08,"ENSG00000054356"
485,"C12orf45",380,1.06088992052998e-08,"ENSG00000151131"
2084,"FTH1P20",381,1.07635534174669e-08,"ENSG00000226564"
85,"SH3BGRL3",382,1.07768397011935e-08,"ENSG00000142669"
189,"GNG11",383,1.08899605904406e-08,"ENSG00000127920"
64,"CCDC26",384,1.09212486962284e-08,"ENSG00000229140"
-379,"RNASEK",385,1.10185006415057e-08,"ENSG00000219200"
424,"CXCL5",386,1.1301567390909e-08,"ENSG00000163735"
-222,"FIRRE",387,1.1301567390909e-08,"ENSG00000213468"
559,"ZZZ3",388,1.13602877292636e-08,"ENSG00000036549"
237,"MSRB1",389,1.15457024400293e-08,"ENSG00000198736"
2913,"GINS1",390,1.16520066551369e-08,"ENSG00000101003"
304,"SEC14L1",391,1.16520066551369e-08,"ENSG00000129657"
639,"SLC26A2",392,1.16758550785388e-08,"ENSG00000155850"
225,"MPZL3",393,1.17873615775969e-08,"ENSG00000160588"
-77,"MIR133A1HG",394,1.17873615775969e-08,"ENSG00000265142"
52,"SCARNA7",395,1.25986148734684e-08,"ENSG00000238741"
560,"LINC01002",396,1.27327945186807e-08,"ENSG00000282508"
252,"IGF2BP2-AS1",397,1.2947097815664e-08,"ENSG00000163915"
NA,"AC092645.2",398,1.30150963061507e-08,"ENSG00000286545"
-115,"GMDS-DT",399,1.31187191203898e-08,"ENSG00000250903"
776,"CBX5",400,1.32969806385994e-08,"ENSG00000094916"
276,"NSUN7",401,1.34978752977208e-08,"ENSG00000179299"
NA,"AC131568.1",402,1.34978752977208e-08,"ENSG00000287195"
NA,"AC001226.2",403,1.35970162884857e-08,"ENSG00000283208"
643,"NAMPTP1",404,1.36158119372647e-08,"ENSG00000229644"
848,"KCNQ5",405,1.38608829006422e-08,"ENSG00000185760"
180,"NCAPG",406,1.4153561797134e-08,"ENSG00000109805"
35,"NCK1-DT",407,1.41849039485461e-08,"ENSG00000239213"
621,"GNLY",408,1.42684831085542e-08,"ENSG00000115523"
225,"CD177P1",409,1.43990918654625e-08,"ENSG00000204933"
991,"RCAN2",410,1.46033829569234e-08,"ENSG00000172348"
-191,"SNHG4",411,1.46912256110826e-08,"ENSG00000281398"
328,"ARG1",412,1.53282117004287e-08,"ENSG00000118520"
311,"SLC45A4",413,1.59670067903674e-08,"ENSG00000022567"
317,"REV3L",414,1.71443517150497e-08,"ENSG00000009413"
172,"C3orf86",415,1.72404454053959e-08,"ENSG00000225873"
117,"BAALC-AS1",416,1.72852122857058e-08,"ENSG00000247081"
250,"TICRR",417,1.78813814857969e-08,"ENSG00000140534"
55,"KCNQ5-AS1",418,1.82020640979033e-08,"ENSG00000229154"
112,"NEURL1B",419,1.82027247538192e-08,"ENSG00000214357"
170,"ASPRV1",420,1.82132296256672e-08,"ENSG00000244617"
