"padj","gene","symbol","rank","rank_change"
3.48710603560665e-14,"ENSG00000100031","GGT1",203,9062
3.48710603560665e-14,"ENSG00000101084","RAB5IF",204,31961
3.52990411834767e-14,"ENSG00000249593","AC011405.1",205,134
3.66950037269104e-14,"ENSG00000223960","CHROMR",206,-43
3.92830554665416e-14,"ENSG00000060749","QSER1",207,-105
4.06270549187441e-14,"ENSG00000137133","HINT2",208,42170
4.48094260654292e-14,"ENSG00000263647","BPTFP1",209,NA
4.58264036139993e-14,"ENSG00000211596","IGKJ2",210,NA
4.65880766057976e-14,"ENSG00000135924","DNAJB2",211,-145
5.43333850546012e-14,"ENSG00000099977","DDT",212,31408
5.48291035391583e-14,"ENSG00000268903","AL627309.6",213,-179
6.82367169600171e-14,"ENSG00000281991","TMEM265",214,45378
7.0548372572095e-14,"ENSG00000111245","MYL2",215,-166
7.0548372572095e-14,"ENSG00000132471","WBP2",216,-142
8.11308213544821e-14,"ENSG00000189067","LITAF",217,-117
8.87299136430226e-14,"ENSG00000100092","SH3BP1",218,1949
9.58847880287319e-14,"ENSG00000243749","TMEM35B",219,36271
9.61156045626298e-14,"ENSG00000281398","SNHG4",220,191
1.16588545795366e-13,"ENSG00000257949","TEN1",221,15587
1.26688423481079e-13,"ENSG00000213780","GTF2H4",222,28632
1.38070292612932e-13,"ENSG00000134668","SPOCD1",223,-119
1.45148112768805e-13,"ENSG00000258315","C17orf49",224,29557
1.80784101269873e-13,"ENSG00000229833","PET100",225,6639
2.07336949204131e-13,"ENSG00000284024","AC069544.2",226,10541
2.21852975745045e-13,"ENSG00000204592","HLA-E",227,-116
2.33090671686348e-13,"ENSG00000173110","HSPA6",228,-121
2.39329302551109e-13,"ENSG00000196312","MFSD14C",229,3539
2.41673809253022e-13,"ENSG00000070495","JMJD6",230,-170
2.47995114353754e-13,"ENSG00000149639","SOGA1",231,-122
2.66935731751908e-13,"ENSG00000095059","DHPS",232,20642
3.10310399264241e-13,"ENSG00000149289","ZC3H12C",233,-123
3.14965429675567e-13,"ENSG00000102098","SCML2",234,-141
3.15223371492253e-13,"ENSG00000173868","PHOSPHO1",235,-127
3.15223371492253e-13,"ENSG00000245060","LINC00847",236,12462
3.49437396903985e-13,"ENSG00000140264","SERF2",237,27
3.53675970469151e-13,"ENSG00000167768","KRT1",238,-135
3.80919438917659e-13,"ENSG00000136205","TNS3",239,-105
3.92661612807507e-13,"ENSG00000215440","NPEPL1",240,2876
4.01786000792586e-13,"ENSG00000231999","LRRC8C-DT",241,920
4.17864565167705e-13,"ENSG00000203896","LIME1",242,3893
4.17864565167705e-13,"ENSG00000260852","FBXL19-AS1",243,-28
4.43474340445426e-13,"ENSG00000230084","AC006059.1",244,310
4.61286874621591e-13,"ENSG00000115607","IL18RAP",245,-130
4.85415287310752e-13,"ENSG00000230322","AL136320.1",246,741
5.30396373151129e-13,"ENSG00000204632","HLA-G",247,1568
5.67011406410104e-13,"ENSG00000205155","PSENEN",248,1377
5.6990028856078e-13,"ENSG00000242094","FOXP1-IT1",249,-33
6.53176296887896e-13,"ENSG00000179240","GVQW3",250,1472
7.24904636882689e-13,"ENSG00000128833","MYO5C",251,-67
7.28219396975492e-13,"ENSG00000204524","ZNF805",252,1809
7.46280238094715e-13,"ENSG00000166136","NDUFB8",253,32625
7.63829497453383e-13,"ENSG00000080603","SRCAP",254,12783
7.63829497453383e-13,"ENSG00000265681","RPL17",255,44968
7.64186545036541e-13,"ENSG00000258659","TRIM34",256,37444
7.64666185272508e-13,"ENSG00000274425","AC114271.1",257,45567
8.40569760198753e-13,"ENSG00000173894","CBX2",258,-108
9.08519413815627e-13,"ENSG00000234353","AP000346.2",259,12530
9.65373750353008e-13,"ENSG00000231259","ANAPC1P2",260,NA
9.92732782985231e-13,"ENSG00000182108","DEXI",261,2495
1.05275290333414e-12,"ENSG00000215837","SDHAP2",262,NA
1.06975242927729e-12,"ENSG00000173846","PLK3",263,-122
1.08197905563224e-12,"ENSG00000267796","LIN37",264,2916
1.165330956905e-12,"ENSG00000079393","DUSP13",265,-169
1.16855966774268e-12,"ENSG00000152463","OLAH",266,-143
1.22589754610873e-12,"ENSG00000232729","AC211433.1",267,34
1.29270646452686e-12,"ENSG00000105835","NAMPT",268,-179
1.32652898395114e-12,"ENSG00000147872","PLIN2",269,-151
1.34501812687845e-12,"ENSG00000139890","REM2",270,-138
1.43363668472808e-12,"ENSG00000125971","DYNLRB1",271,29724
1.53133980116442e-12,"ENSG00000267673","FDX2",272,23750
1.59905559319302e-12,"ENSG00000172167","MTBP",273,-101
1.60904349253123e-12,"ENSG00000280143","AP000892.4",274,29645
1.62264488736276e-12,"ENSG00000174886","NDUFA11",275,6050
1.64795878478815e-12,"ENSG00000128340","RAC2",276,-138
