"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000261824",13,24,47,1068,1000,1670,2.99790909706186e-14,"LINC00662",199,654
"ENSG00000235652",3,4,7,326,319,443,3.24431883463203e-14,"FBXO30-DT",200,516
"ENSG00000197114",985,987,2411,236,126,93,3.31794728591669e-14,"ZGPAT",201,5993
"ENSG00000279117",236,296,176,0,0,0,3.36983826474093e-14,"AP001972.5",202,NA
"ENSG00000100031",304,406,2798,8,22,22,3.48710603560665e-14,"GGT1",203,9062
"ENSG00000101084",1791,2703,16230,185,127,228,3.48710603560665e-14,"RAB5IF",204,31961
"ENSG00000249593",1,2,6,336,353,334,3.52990411834767e-14,"AC011405.1",205,134
"ENSG00000223960",63,43,147,2350,2190,3191,3.66950037269104e-14,"CHROMR",206,-43
"ENSG00000060749",110,130,146,3100,3572,3523,3.92830554665416e-14,"QSER1",207,-105
"ENSG00000137133",142,187,190,4,13,7,4.06270549187441e-14,"HINT2",208,42170
"ENSG00000263647",160,104,573,0,0,0,4.48094260654292e-14,"BPTFP1",209,NA
"ENSG00000211596",136,104,266,0,0,0,4.58264036139993e-14,"IGKJ2",210,NA
"ENSG00000135924",4009,2058,3430,369,400,300,4.65880766057976e-14,"DNAJB2",211,-145
"ENSG00000099977",181,224,656,0,0,1,5.43333850546012e-14,"DDT",212,31408
"ENSG00000268903",808,794,4839,9,51,9,5.48291035391583e-14,"AL627309.6",213,-179
"ENSG00000281991",142,192,562,1,1,0,6.82367169600171e-14,"TMEM265",214,45378
"ENSG00000111245",888,391,305,0,0,1,7.0548372572095e-14,"MYL2",215,-166
"ENSG00000132471",15268,7263,26058,1896,2225,1442,7.0548372572095e-14,"WBP2",216,-142
"ENSG00000189067",29022,24395,148387,4237,2720,3470,8.11308213544821e-14,"LITAF",217,-117
"ENSG00000100092",2737,2981,2999,505,458,324,8.87299136430226e-14,"SH3BP1",218,1949
"ENSG00000243749",145,331,965,1,0,0,9.58847880287319e-14,"TMEM35B",219,36271
"ENSG00000281398",11,4,3,1554,842,817,9.61156045626298e-14,"SNHG4",220,191
"ENSG00000257949",215,329,475,14,1,11,1.16588545795366e-13,"TEN1",221,15587
"ENSG00000213780",205,147,226,9,9,1,1.26688423481079e-13,"GTF2H4",222,28632
"ENSG00000134668",237,102,153,1,4,4,1.38070292612932e-13,"SPOCD1",223,-119
"ENSG00000258315",149,157,391,30,31,36,1.45148112768805e-13,"C17orf49",224,29557
"ENSG00000229833",235,525,951,49,40,61,1.80784101269873e-13,"PET100",225,6639
"ENSG00000284024",21,11,16,774,802,1143,2.07336949204131e-13,"AC069544.2",226,10541
"ENSG00000204592",86562,92738,235855,19601,22165,10030,2.21852975745045e-13,"HLA-E",227,-116
"ENSG00000173110",15758,2601,14960,22,113,3,2.33090671686348e-13,"HSPA6",228,-121
"ENSG00000196312",141,75,294,4705,4788,4054,2.39329302551109e-13,"MFSD14C",229,3539
"ENSG00000070495",2940,2969,7979,942,777,947,2.41673809253022e-13,"JMJD6",230,-170
"ENSG00000149639",157,112,167,4020,6563,4047,2.47995114353754e-13,"SOGA1",231,-122
"ENSG00000095059",1110,891,1755,289,155,161,2.66935731751908e-13,"DHPS",232,20642
"ENSG00000149289",4,10,38,2040,936,2730,3.10310399264241e-13,"ZC3H12C",233,-123
"ENSG00000102098",23,9,14,1355,833,1007,3.14965429675567e-13,"SCML2",234,-141
"ENSG00000173868",9519,7747,3803,157,262,37,3.15223371492253e-13,"PHOSPHO1",235,-127
"ENSG00000245060",436,419,938,90,124,118,3.15223371492253e-13,"LINC00847",236,12462
"ENSG00000140264",5145,8499,17967,1397,1811,1516,3.49437396903985e-13,"SERF2",237,27
"ENSG00000167768",2730,1430,168,6,6,0,3.53675970469151e-13,"KRT1",238,-135
"ENSG00000136205",242,315,498,7211,7177,4953,3.80919438917659e-13,"TNS3",239,-105
"ENSG00000215440",1781,1399,3946,292,434,209,3.92661612807507e-13,"NPEPL1",240,2876
"ENSG00000231999",22,18,33,674,617,916,4.01786000792586e-13,"LRRC8C-DT",241,920
"ENSG00000203896",1910,2824,759,94,46,46,4.17864565167705e-13,"LIME1",242,3893
"ENSG00000260852",19,15,25,625,496,690,4.17864565167705e-13,"FBXL19-AS1",243,-28
"ENSG00000230084",4,11,11,743,388,809,4.43474340445426e-13,"AC006059.1",244,310
"ENSG00000115607",2713,10020,73036,328,48,61,4.61286874621591e-13,"IL18RAP",245,-130
"ENSG00000230322",3,2,2,369,260,304,4.85415287310752e-13,"AL136320.1",246,741
"ENSG00000204632",236,357,377,38,14,30,5.30396373151129e-13,"HLA-G",247,1568
"ENSG00000205155",522,867,4289,32,71,70,5.67011406410104e-13,"PSENEN",248,1377
"ENSG00000242094",2,0,9,432,677,618,5.6990028856078e-13,"FOXP1-IT1",249,-33
"ENSG00000179240",7,6,16,938,337,1066,6.53176296887896e-13,"GVQW3",250,1472
"ENSG00000128833",11,16,9,1202,837,587,7.24904636882689e-13,"MYO5C",251,-67
"ENSG00000204524",10,28,36,903,1021,860,7.28219396975492e-13,"ZNF805",252,1809
"ENSG00000166136",601,1096,2245,157,182,190,7.46280238094715e-13,"NDUFB8",253,32625
"ENSG00000080603",4084,2189,4470,668,553,458,7.63829497453383e-13,"SRCAP",254,12783
"ENSG00000265681",1429,7931,4094,222,163,121,7.63829497453383e-13,"RPL17",255,44968
"ENSG00000258659",188,227,2006,12,19,12,7.64186545036541e-13,"TRIM34",256,37444
"ENSG00000274425",98,162,276,1,6,9,7.64666185272508e-13,"AC114271.1",257,45567
"ENSG00000173894",8,6,4,2439,427,1217,8.40569760198753e-13,"CBX2",258,-108
"ENSG00000234353",499,315,1683,73,40,26,9.08519413815627e-13,"AP000346.2",259,12530
"ENSG00000231259",129,91,146,0,0,0,9.65373750353008e-13,"ANAPC1P2",260,NA
"ENSG00000182108",0,0,1,943,802,550,9.92732782985231e-13,"DEXI",261,2495
"ENSG00000215837",83,82,281,0,0,0,1.05275290333414e-12,"SDHAP2",262,NA
"ENSG00000173846",3379,3888,5229,1140,1020,782,1.06975242927729e-12,"PLK3",263,-122
"ENSG00000267796",166,237,826,33,33,34,1.08197905563224e-12,"LIN37",264,2916
"ENSG00000079393",146,60,308,4,0,2,1.165330956905e-12,"DUSP13",265,-169
"ENSG00000152463",16,1534,10095,5,1,3,1.16855966774268e-12,"OLAH",266,-143
"ENSG00000232729",2,6,4,345,360,582,1.22589754610873e-12,"AC211433.1",267,34
"ENSG00000105835",28167,67980,413224,3883,4569,1818,1.29270646452686e-12,"NAMPT",268,-179
"ENSG00000147872",27844,9000,14066,1214,1212,817,1.32652898395114e-12,"PLIN2",269,-151
"ENSG00000139890",255,499,847,59,17,24,1.34501812687845e-12,"REM2",270,-138
"ENSG00000125971",1018,1288,5284,124,102,213,1.43363668472808e-12,"DYNLRB1",271,29724
"ENSG00000267673",67,69,95,2,4,4,1.53133980116442e-12,"FDX2",272,23750
"ENSG00000172167",18,22,34,753,539,505,1.59905559319302e-12,"MTBP",273,-101
"ENSG00000280143",439,177,136,2,1,0,1.60904349253123e-12,"AP000892.4",274,29645
"ENSG00000174886",803,1233,2228,342,243,254,1.62264488736276e-12,"NDUFA11",275,6050
"ENSG00000128340",28886,29776,98528,6929,7691,8428,1.64795878478815e-12,"RAC2",276,-138
"ENSG00000127084",15340,11671,40729,3402,3993,2314,1.68853238670353e-12,"FGD3",277,-151
"ENSG00000109061",864,487,145,1,0,0,1.81907417888482e-12,"MYH1",278,-197
"ENSG00000224083",4,2,9,263,356,298,1.83330198044548e-12,"MTCO1P11",279,3
"ENSG00000103154",112,144,414,2,0,0,2.02598891732409e-12,"NECAB2",280,-183
"ENSG00000268362",16,38,182,6406,4538,7567,2.20412652177248e-12,"AC092279.1",281,72
"ENSG00000196091",718,197,372,0,3,8,2.24868180347584e-12,"MYBPC1",282,-240
"ENSG00000161265",567,431,780,155,116,103,2.25133917858361e-12,"U2AF1L4",283,6720
"ENSG00000250903",29,17,110,2538,1793,2902,2.25133917858361e-12,"GMDS-DT",284,115
"ENSG00000253797",54,161,301,0,0,0,2.25133917858361e-12,"UTP14C",285,NA
"ENSG00000124766",103,50,166,2804,5484,7374,2.48079725037494e-12,"SOX4",286,-159
"ENSG00000269858",4228,2844,16173,764,646,595,2.5559149450687e-12,"EGLN2",287,7911
"ENSG00000119969",86,63,70,3235,3093,1892,2.65177938431693e-12,"HELLS",288,-148
"ENSG00000013306",85434,68257,16597,2581,1325,1136,2.78841269639564e-12,"SLC25A39",289,-146
