"padj","gene","symbol","rank","rank_change"
1.99759748097371e-11,"ENSG00000099860","GADD45B",167,217
2.02273472683608e-11,"ENSG00000144354","CDCA7",168,221
2.06707138129524e-11,"ENSG00000172216","CEBPB",169,126
2.11002387103772e-11,"ENSG00000213362","FTH1P12",170,6605
2.17521889529641e-11,"ENSG00000269821","KCNQ1OT1",171,403
2.35335012374591e-11,"ENSG00000172167","MTBP",172,101
2.55137289828136e-11,"ENSG00000140678","ITGAX",173,266
2.66256026853908e-11,"ENSG00000213160","KLHL23",174,-33
2.77490097702048e-11,"ENSG00000127955","GNAI1",175,224
2.893329768266e-11,"ENSG00000166925","TSC22D4",176,318
2.893329768266e-11,"ENSG00000167671","UBXN6",177,165
3.25225246735577e-11,"ENSG00000147650","LRP12",178,330
3.83272557879942e-11,"ENSG00000254325","AC018607.1",179,556
4.057220617877e-11,"ENSG00000186638","KIF24",180,426
4.71567759207956e-11,"ENSG00000130066","SAT1",181,182
4.71567759207956e-11,"ENSG00000164116","GUCY1A1",182,363
4.71567759207956e-11,"ENSG00000197714","ZNF460",183,154
5.06834455948495e-11,"ENSG00000128833","MYO5C",184,67
5.12150614126026e-11,"ENSG00000255398","HCAR3",185,168
5.24198417362035e-11,"ENSG00000227591","HSD11B1-AS1",186,534
5.74509537548134e-11,"ENSG00000100985","MMP9",187,115
5.74509537548134e-11,"ENSG00000172116","CD8B",188,186
5.83861583741982e-11,"ENSG00000180644","PRF1",189,155
6.06068875053395e-11,"ENSG00000156970","BUB1B",190,242
6.1834972361493e-11,"ENSG00000247903","AC024896.1",191,7831
6.32719278387781e-11,"ENSG00000232442","MHENCR",192,542
6.55510595928925e-11,"ENSG00000139832","RAB20",193,178
6.85375572803288e-11,"ENSG00000109846","CRYAB",194,577
6.96300845221564e-11,"ENSG00000071794","HLTF",195,13012
6.96300845221564e-11,"ENSG00000118193","KIF14",196,-27
6.98099901865683e-11,"ENSG00000145734","BDP1",197,317
